fact_id,tool_id,tool_name,vendor,field,value,status,quote,source_url,archive_url,fetched_at,page_dated,pages_checked,note
adalat-ai.accuracy.claim,adalat-ai,Adalat AI,Adalat AI,accuracy.claim,15+ Indian languages; 90%+ accuracy,stated,"""Supports 15+ Indian languages and legal jargon with 90%+ accuracy.""",https://www.adalat.ai/products,http://web.archive.org/web/20260709003435/https://www.adalat.ai/products,2026-09-06,,,
adalat-ai.accuracy.method_published,adalat-ai,Adalat AI,Adalat AI,accuracy.method_published,no,not-found,,https://www.adalat.ai/products,http://web.archive.org/web/20260709003435/https://www.adalat.ai/products,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.contract.dpa_available,adalat-ai,Adalat AI,Adalat AI,contract.dpa_available,,not-found,,https://www.adalat.ai/dpa,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",DPA URL returned a public not-found page.
adalat-ai.contract.model_providers,adalat-ai,Adalat AI,Adalat AI,contract.model_providers,[],stated,"""We do not use any external APIs for storage, inference, or enrichment.""",https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,2025-01-31,,
adalat-ai.contract.privacy_last_updated,adalat-ai,Adalat AI,Adalat AI,contract.privacy_last_updated,2024-09-25,stated,"""Effective Date: 25/09/2024""",https://www.adalat.ai/mobile-privacy-policy,http://web.archive.org/web/20260305202146/https://www.adalat.ai/mobile-privacy-policy,2026-09-06,2024-09-25,,
adalat-ai.contract.subprocessors_published,adalat-ai,Adalat AI,Adalat AI,contract.subprocessors_published,,not-found,,https://www.adalat.ai/subprocessors,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",Subprocessors URL returned a public not-found page.
adalat-ai.contract.terms_last_updated,adalat-ai,Adalat AI,Adalat AI,contract.terms_last_updated,,not-found,,https://www.adalat.ai/terms,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",Terms URL returned a public not-found page.
adalat-ai.pricing.free_trial,adalat-ai,Adalat AI,Adalat AI,pricing.free_trial,,not-found,,https://www.adalat.ai/pricing,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.pricing.list_price,adalat-ai,Adalat AI,Adalat AI,pricing.list_price,,not-found,,https://www.adalat.ai/pricing,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.pricing.minimum_term,adalat-ai,Adalat AI,Adalat AI,pricing.minimum_term,,not-found,,https://www.adalat.ai/pricing,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.pricing.model,adalat-ai,Adalat AI,Adalat AI,pricing.model,not-published,not-found,,https://www.adalat.ai/pricing,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.pricing.published,adalat-ai,Adalat AI,Adalat AI,pricing.published,no,not-found,,https://www.adalat.ai/pricing,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",Pricing URL returned a public not-found page; no concrete price found on checked pages.
adalat-ai.pricing.seat_minimum,adalat-ai,Adalat AI,Adalat AI,pricing.seat_minimum,,not-found,,https://www.adalat.ai/pricing,,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.product.languages,adalat-ai,Adalat AI,Adalat AI,product.languages,15+ Indian languages,stated,"""Supports 15+ Indian languages and legal jargon with 90%+ accuracy.""",https://www.adalat.ai/products,http://web.archive.org/web/20260709003435/https://www.adalat.ai/products,2026-09-06,,,
adalat-ai.security.audit_logs,adalat-ai,Adalat AI,Adalat AI,security.audit_logs,yes,stated,"""Audit Trails: Every data access and modification is fully traceable.""",https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,2025-01-31,,
adalat-ai.security.data_residency,adalat-ai,Adalat AI,Adalat AI,security.data_residency,"[""India""]",stated,"""All data processed through Adalat AI—text, audio, transcripts—is stored exclusively in secure data centers within India.""",https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,2025-01-31,,
adalat-ai.security.encryption_at_rest,adalat-ai,Adalat AI,Adalat AI,security.encryption_at_rest,yes,stated,"""All sensitive data, such as transcriptions and OCR scans, are encrypted during transmission and storage.""",https://www.adalat.ai/mobile-privacy-policy,http://web.archive.org/web/20260305202146/https://www.adalat.ai/mobile-privacy-policy,2026-09-06,2024-09-25,,
adalat-ai.security.hipaa,adalat-ai,Adalat AI,Adalat AI,security.hipaa,contradictory,contradictory,"""HIPAA-compliant, ISO/SOC roadmap underway""",https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,2025-01-31,,Same page also says systems are being designed toward HIPAA-grade security.
adalat-ai.security.iso27001,adalat-ai,Adalat AI,Adalat AI,security.iso27001,working toward,stated,"""ISO 27001 – Information Security Management""",https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,2025-01-31,,
adalat-ai.security.iso42001,adalat-ai,Adalat AI,Adalat AI,security.iso42001,,not-found,,https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.security.no_training_on_customer_data,adalat-ai,Adalat AI,Adalat AI,security.no_training_on_customer_data,yes,stated,"""We never use your data for training or model improvements unless clear, informed consent is granted.""",https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,2025-01-31,,
adalat-ai.security.private_deployment,adalat-ai,Adalat AI,Adalat AI,security.private_deployment,,not-found,,https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.security.soc2,adalat-ai,Adalat AI,Adalat AI,security.soc2,working toward,stated,"""We are actively working toward achieving globally recognized security certifications, including:""",https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,2025-01-31,,
adalat-ai.security.soc2_type,adalat-ai,Adalat AI,Adalat AI,security.soc2_type,SOC 2 Type II roadmap,stated,"""SOC 2 Type II – Controls for Confidentiality, Availability, and Privacy""",https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,2025-01-31,,
adalat-ai.security.sso_saml,adalat-ai,Adalat AI,Adalat AI,security.sso_saml,,not-found,,https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
adalat-ai.security.zero_retention,adalat-ai,Adalat AI,Adalat AI,security.zero_retention,,not-found,,https://www.adalat.ai/security,https://web.archive.org/web/20260906070104/https://www.adalat.ai/security,2026-09-06,,"[""https://www.adalat.ai/"", ""https://www.adalat.ai/products"", ""https://www.adalat.ai/security"", ""https://www.adalat.ai/mobile-privacy-policy"", ""https://www.adalat.ai/pricing"", ""https://www.adalat.ai/terms"", ""https://www.adalat.ai/privacy-policy"", ""https://www.adalat.ai/dpa"", ""https://www.adalat.ai/subprocessors""]",
agiloft.accuracy.claim,agiloft,Agiloft,"Agiloft, Inc.",accuracy.claim,Auditable outputs; traceable decisions,stated,"""Auditable outputs. Traceable decisions.""",https://www.agiloft.com/,http://web.archive.org/web/20260813121139/https://www.agiloft.com/,2026-09-06,,,
agiloft.accuracy.method_published,agiloft,Agiloft,"Agiloft, Inc.",accuracy.method_published,no,not-found,,https://www.agiloft.com/,http://web.archive.org/web/20260813121139/https://www.agiloft.com/,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
agiloft.contract.dpa_available,agiloft,Agiloft,"Agiloft, Inc.",contract.dpa_available,yes,stated,"""enter into the Bonterms Data Protection Addendum (DPA)""",https://www.agiloft.com/terms-policies/data-processing-addendum,http://web.archive.org/web/20260614033913/https://www.agiloft.com/terms-policies/data-processing-addendum/,2026-09-06,2025-04-11,,
agiloft.contract.model_providers,agiloft,Agiloft,"Agiloft, Inc.",contract.model_providers,"[""Amazon Web Services (AWS Bedrock)"", ""Microsoft Azure"", ""OpenAI""]",stated,"""AI services provider for AI assisted features and functionality""",https://www.agiloft.com/terms-policies/subprocessor-list,,2026-09-06,2026-07-15,,
agiloft.contract.privacy_last_updated,agiloft,Agiloft,"Agiloft, Inc.",contract.privacy_last_updated,2026-02-06,stated,"""Last Reviewed: February 6, 2026""",https://www.agiloft.com/privacy-policy,http://web.archive.org/web/20260605160955/https://www.agiloft.com/privacy-policy/,2026-09-06,2026-02-06,,
agiloft.contract.subprocessors_published,agiloft,Agiloft,"Agiloft, Inc.",contract.subprocessors_published,yes,stated,"""Agiloft – Core CLM Platform Sub-processors""",https://www.agiloft.com/terms-policies/subprocessor-list,,2026-09-06,2026-07-15,,
agiloft.contract.terms_last_updated,agiloft,Agiloft,"Agiloft, Inc.",contract.terms_last_updated,2026-07-22,stated,"""last updated July 22, 2026""",https://www.agiloft.com/terms-policies/services-agreement,http://web.archive.org/web/20260315104123/https://www.agiloft.com/terms-policies/services-agreement/,2026-09-06,2026-07-22,,
agiloft.pricing.free_trial,agiloft,Agiloft,"Agiloft, Inc.",pricing.free_trial,,not-found,,https://www.agiloft.com/pricing,http://web.archive.org/web/20260614042117/https://www.agiloft.com/pricing/,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
agiloft.pricing.list_price,agiloft,Agiloft,"Agiloft, Inc.",pricing.list_price,,not-found,,https://www.agiloft.com/pricing,http://web.archive.org/web/20260614042117/https://www.agiloft.com/pricing/,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
agiloft.pricing.minimum_term,agiloft,Agiloft,"Agiloft, Inc.",pricing.minimum_term,,not-found,,https://www.agiloft.com/pricing,http://web.archive.org/web/20260614042117/https://www.agiloft.com/pricing/,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",
agiloft.pricing.model,agiloft,Agiloft,"Agiloft, Inc.",pricing.model,enterprise,stated,"""Get Pricing""",https://www.agiloft.com/pricing,http://web.archive.org/web/20260614042117/https://www.agiloft.com/pricing/,2026-09-06,,,
agiloft.pricing.published,agiloft,Agiloft,"Agiloft, Inc.",pricing.published,no,not-found,,https://www.agiloft.com/pricing,http://web.archive.org/web/20260614042117/https://www.agiloft.com/pricing/,2026-09-06,,"[""https://www.agiloft.com/"", ""https://www.agiloft.com/solutions/clm-legal-professionals"", ""https://www.agiloft.com/pricing"", ""https://www.agiloft.com/terms-of-service"", ""https://www.agiloft.com/privacy-policy"", ""https://www.agiloft.com/terms-policies/services-agreement"", ""https://www.agiloft.com/terms-policies/security"", ""https://www.agiloft.com/terms-policies/data-processing-addendum"", ""https://www.agiloft.com/terms-policies/subprocessor-list"", ""https://www.agiloft.com/terms-policies""]",Pricing page says to get pricing but publishes no concrete amount.
